date,rating,note,review_text
2024-03-01,5.0,Stayed with kids,Teri’s is a wonderful host and I appreciate her kindness. The home was clean and easy check in. Will definitely visit again.
2023-10-01,5.0,Stayed a few nights,Teri’s place was great and easy to access definitely enjoyed our time there.
2023-10-01,5.0,Stayed about a week,Nice house 🤗
2023-09-01,5.0,Stayed a few nights,"Teri has done a great job with this place. Clean, quiet and conveniently located. Would recommend for a great stay."
2023-09-01,5.0,Stayed a few nights,Great stay. Thank you!
2023-11-01,5.0,Stayed with a pet,"My dog and I felt like family at Lynn's house. This was the best Airbnb experience I have had (I have stayed in Airbnb's in multiple countries). Lynn and her husband were very welcoming and caring, and their dogs are really friendly. The house is nice and clean, with everything we needed to be comfortable. It was great to have access to a variety of breakfast foods in the morning."
2023-11-01,4.0,Stayed one night,"Lynn's place was just what I was looking for, an affordable room for the night.
She was easy to communicate with and very welcoming.
I'd ask again anytime I needed an overnight place in Douglas."
2023-11-01,5.0,Stayed one night,Had a great night stay... very quiet and relaxing... Lynn's place was perfect
2023-11-01,5.0,Stayed one night,"Very welcoming host
The room and bed was super comfortable
I was able to have lunch (free) and share a moment of conviviality together.
I highly recommend it."
2023-11-01,5.0,Stayed a few nights,"Staying here was incredible, Mrs. Lynn is the sweetest and friendliest person you can meet, I felt at home, the cure is beautiful! I am infinitely grateful for how cordial she and her husband were!! Recommended 100%"
2023-11-01,5.0,Stayed one night,Lynn was a doll! The room and bathroom were very nice and comfy! Very quiet neighborhood as well.
2024-06-01,5.0,Stayed with kids,The house was beautiful and perfect for our group. Will definitely book again if we are in that area.
2024-05-01,5.0,Group trip,We enjoyed the house me and my crew. very clean nice and quiet we felt like we were home definitely recommended thanks Dania!
2024-04-01,4.0,Stayed over a week,"Nice home, very roomy. Great Internet. Enjoyed our stay.."
2024-04-01,5.0,Group trip,Thank you so much
2024-03-01,5.0,Stayed with kids,Love the architect of the house! So many different rooms and it looks so much better in person than the photos. This is a great stay for family and friend gatherings.
2024-03-01,5.0,Group trip,Thank you
2024-03-01,5.0,Stayed one night,"Booked this for my husband, so I didn't actually get to go there. He needed a place to stay while visiting his family and was traveling with his brother and cousin. They were totally happy. The backyard was a hit, and it was very spacious inside. They loved all having their own areas. I guess the location is as perfeft also. He said he will for sure keep it as something to book again if he ever goes back to Douglas."
2024-03-01,5.0,Group trip,Thank
