date,rating,note,review_text
2024-06-01,5.0,Stayed about a week,Great place! Felt like home! Easily accessible and great location!
2024-04-01,5.0,Stayed a few nights,Quiet nice little getaway. Great place
2024-02-01,5.0,Stayed a few nights,Very clean and the host was fast to reply. I would definitely stay here again!!
2023-12-01,5.0,Stayed with a pet,"We had a great stay everything was very clean. The house was very spacious.
And and the location was great lots of stores and Restaurants Nearby Would definitely stay there again"
2023-12-01,5.0,Stayed with a pet,"Great home conveniently located close to River Ranch in Lafayette. Great communication, clean and has everything one could need."
2023-12-01,5.0,Stayed a few nights,"This is the second time we’ve stayed at Jay’s place while on business in Lafayette. It’s clean and comfortable, well appointed and located centrally near River Ranch and several grocery stores/restos. Jay is also very responsive as a host. Thumbs up again!"
2023-11-01,5.0,Stayed a few nights,Jay was super quick to respond to any and all questions! Very accommodating!
2023-11-01,5.0,Stayed a few nights,I would definitely stay at this place again. It has to be the cleanest place that we have ever stayed in a rental. They were super responsive to our requests and very kind. The house is super cozy and nearby to all the local shops and restaurants. Thank you!
2023-10-01,5.0,Stayed a few nights,"So great to be back in Jay and Kim’s place. It’s my go-to for going to Lafayette. Lovely space, comfortable bed, clean, and on a quiet dead end street. Will definitely hope they’re available for my next trip to the area."
2023-10-01,5.0,Stayed with a pet,"Easy check in and checkout. Property exactly as described. Host very pleasant, informative and accommodating. Highly recommend."
2023-10-01,5.0,Stayed a few nights,Very nice and close to River Ranch
2023-10-01,5.0,Stayed with kids,"My parents, grandma and daughter stayed and enjoyed it. Very convenient their first airbnb, it was wonderful for them! Communication was great Jay helped along the way before getting there. Thank you!"
2023-10-01,5.0,Stayed with a pet,"Wonderful and cozy home, that felt like home. The location is wonderfully located near restaurants and shopping."
2023-09-01,5.0,Stayed with a pet,"Jay’s place is conveniently located to Whole Foods, coffee shops, and restaurants but secluded enough to be quiet. It was perfect for our short trip to see family. Jay was proactive and made sure we had everything we needed. Thanks Jay, for being a great host!"
2023-09-01,5.0,Stayed about a week,"Great place! Clean, convenient and great location. Well worth the price."
2023-08-01,5.0,Stayed a few nights,"Loved Jay’s place. He had every amenity we needed … and more! He thought of everything! His place is clean, tastefully decorated and very comfortable. Our first experience with an Airbnb and it was just great. Hope to stay there again next business trip to Lafayette."
2023-07-01,5.0,Stayed with a pet,Jay was a gracious host and communicated promptly when I had questions. It’s a beautiful clean and spacious home and was so well suited for our trip. My husband and I stayed downstairs and my father in law had his own space upstairs. And there was even a nice enclosed grassy area for our small dog to play in off leash!
2023-07-01,5.0,Stayed about a week,I had a wonderful stay at Jay's place. It is a beautiful home and very much what I a used to at my home. It was quiet and I was able to get work done and be close to many restaurants and great shopping. Top notch!
2023-07-01,5.0,Stayed a few nights,"The place was excellent clean, quiet and comfortable!"
2023-07-01,5.0,Stayed a few nights,Very comfortable and clean home. Fully stocked with needed amenities. Nice and quiet too.
2023-06-01,5.0,Stayed with a pet,The pictures don’t do this house justice. It was a beautiful home and was perfect for our weekend get away. There’s a personal car port for your vehicle and check-in was a breeze. We brought along my dog and the side yard was plenty for him to do his business. The furniture was comfortable and the beds were great also. It’s also in a great location so we never had to drive more than a few minutes to get to where we wanted to go. I would absolutely come back!
2023-06-01,5.0,Stayed a few nights,"Jay is a super host; professional, responsive and courteous. The home is spotless and well designed. I would rent again when in Lafayette."
2023-06-01,5.0,Stayed a few nights,"Second time staying at this property. Once again, nothing disappoints! Cannot wait to be back!"
2023-06-01,5.0,Stayed with a pet,Loved the little touches! Super comfy king sized bed and lots of space for our baby to crawl around. Jay was so helpful and easy to communicate with! We had an extended stay and it felt like home right away.
2023-05-01,5.0,Stayed a few nights,"Jay’s place was perfectly located for me to visit family. Great having covered parking too. Comfy king-size bed in main bedroom, long lounge-y sectional for watching tv, and thoughtfully chilled bottled water on hand. Quiet street yet close to shopping. He was very responsive, as well. Will hope it’s available for my next visit!"
2023-05-01,5.0,Stayed a few nights,"The house was just as described and easy to find. The neighborhood was quiet and there are lots of choices for restaurants, a grocery store, and lots of other stuff nearby."
2023-05-01,5.0,Stayed a few nights,Great place exactly as advertised. Host had everything we needed and was extremely helpful
2023-04-01,5.0,Stayed a few nights,Great experience.. just as advertised. Host was responsive but not intrusive. Would strongly recommend
2023-04-01,5.0,Stayed a few nights,We were super happy with the place overall and really enjoyed our stay. It was super close to the mall and many shopping areas as well as many restaurants and movie theaters. The place was very clean and the kitchen was nice to use.
2023-03-01,5.0,Stayed a few nights,Great Location and neighbors are friendly. Spotless place. 5 stars.
2023-03-01,5.0,Stayed about a week,"The house was extremely comfortable, spotless, well stocked, and in a fantastic location. The owner reached out to ensure we were comfortable and had everything we needed. Great place!"
2023-03-01,5.0,Stayed a few nights,"As a business professional, I travel a lot. Jay's place was one of, if not the best places I've stayed at. Thanks Jay, I will be back."
2023-02-01,5.0,Stayed a few nights,Very clean and modern accommodations. Great location near the hospital and restaurants.
2023-01-01,5.0,Stayed a few nights,"Fantastic, and great property!"
2023-01-01,5.0,Stayed a few nights,"Great place to stay, with restaurants and stores at short distance. Also great communication by Jay, who checked on us during our stay."
2022-12-01,5.0,Stayed with a pet,Jay was a great host and was very responsive if needed. The home is in a great location to local shopping and restaurants and was a comfortable and clean place to stay while visiting family in the area. Would certainly recommend this home and Jay to other potential guests!
2022-11-01,5.0,Stayed with a pet,Great experience in a great location
2022-11-01,5.0,Stayed a few nights,Very comfortable and clean! Look forward to staying again!
2022-11-01,5.0,Stayed with a pet,"Great house, great location!"
2022-10-01,5.0,Stayed with a pet,Highly recommend. Great communication. Great location. Very comfortable beds. Very quiet. Great. Great. Great.
2022-08-01,5.0,Stayed a few nights,"Jay’a place was so nice. It was clean, comfortable, and in a great location! Check in was very easy. I will definitely try and stay at Jay’s place when I’m back in town!"
2022-07-01,5.0,Stayed with a pet,Very convenient to food and fun in the Lafayette area. A quiet place to come home to in the evenings.
2022-07-01,5.0,Stayed with kids,We had a wonderful stay while visiting friends and family! Perfect location and great host. Would absolutely recommend and book again!
2022-07-01,5.0,Stayed with a pet,Great place to stay clean and easy access to main routes
2022-07-01,5.0,Stayed a few nights,Everything was as published and great. Thank you!
