date,rating,note,review_text
2024-06-01,5.0,Stayed with kids,"It was very clean, great parking, many restaurants to choose from & nicely price."
2024-06-01,5.0,Stayed over a week,Love the place I travel for work and it is the perfect place everything in town in just down the road will definitely stay again
2024-05-01,5.0,Stayed a few nights,"I chose to stay here based on the photos and location. I was in town for an event and was 10 minutes from Garrison Ave., the US Marshall's Museum, restaurants, and historic district."
2024-04-01,5.0,Stayed one night,luis was very nice and responded to all of my messages in a timely manner. airbnb was beautiful.
2024-04-01,5.0,Stayed about a week,I love the place I stay here a lot and will continue to stay here anytime I can
2024-04-01,4.0,Stayed with kids,The place was extremely clean and we were very comfortable.
2024-03-01,5.0,Stayed a few nights,"thank you again, like always it was a pleasure staying at your place 😊"
2024-03-01,5.0,Stayed about a week,It was great place clean and neat really close to everything
2024-03-01,5.0,Stayed a few nights,We live 5hrs away and had an unexpected trip we needed to make to fort smith. Even with the last minute booking the place was just what we needed for our visit and VERY clean when we arrived.
2024-03-01,5.0,Stayed a few nights,"Clean place, good location"
2024-03-01,5.0,Stayed one night,2nd stay just as comfortable and lovely as the first time
2024-02-01,5.0,Stayed a few nights,Peaceful stay real quaint
2024-01-01,5.0,Stayed a few nights,"we always stay with Luis, love it and such a perfect host. thank you for everything"
2024-01-01,5.0,Stayed a few nights,Great place to stay as always!
2024-01-01,5.0,Stayed a few nights,Absolutely perfect stay. Would definitely stay here again. Host was great and communitive.
2023-11-01,5.0,Stayed with kids,"We asked to check-in a little early so our toddler could nap- Luis was super friendly and accommodated us with no issue. It was spotless- smelled nice and even has extras that were the perfect touch. Coffee pods, snacks for kids, plenty of dishes! Will definitely stay again!"
2023-11-01,5.0,Stayed a few nights,I would choose any property in fort smith as long as Luis is the host
2023-11-01,5.0,Stayed a few nights,"This is the 2nd time we have stayed at this location. We have stayed in other Luis' properties. They are always nice, clean, and he is very responsive. Apreciate him as a host."
2023-11-01,5.0,Stayed about a week,Great place and host!
2023-10-01,5.0,Stayed a few nights,"Great place all around! It is removed far enough from the main Avenue that you have peace, but close enough that access to food, shopping, and entertainment is just around the corner. I had to make a last-minute trip and had something come up. I contacted Luis, and he was extremely helpful and went out of his way to ease my situation. On top of it all, I didn't get in till later the first night and didn't grab food, but Luis saved the day, there were snacks and water. Not the most extravagant meal, but a saving grace nonetheless. Highly recommended if you need to stay in the area."
2023-10-01,5.0,Stayed a few nights,"Nice and clean , very comfortable. Will definitely stay again"
2023-10-01,5.0,Stayed a few nights,"I have used Luis Air BnB before, they are always good, clean, and the kids love the free popcorn. Luis is a great host!"
2023-09-01,5.0,Stayed with a pet,"Great location! My family and I felt safe in the area with our child. Close of UAFW and downtown. Discrete location, friendly neighbors, and great value. The inside the home was beautiful. Luis is a fantastic communicator and check in/out was a breeze. 10/10, will be booking this AirBNB next time I’m in FS!"
2023-09-01,5.0,Stayed one night,"It was a great place! Nice and clean, very comfortable, and overall very nice!"
2023-09-01,5.0,Stayed with kids,"Luis is a great host, the duplex was simple and just what we needed"
2023-09-01,5.0,Stayed with kids,I absolutely loved staying here! Everything that is needed was supplied (except broom and mop and can opener). The apartment feels like home and is furnished beautifully. The fenced in porch was so relaxing. Excellent!
2023-09-01,5.0,Stayed with kids,This was our second time staying at Luis’s place. We like the way we felt right at home the first time so we had to stay again. He also has snacks for the kids which is a plus! This time around he had extra toiletries. He really does know how to accommodate his guest.
2023-09-01,5.0,Stayed a few nights,"Good neighborhood, home and host. Will stay again."
2023-08-01,5.0,Stayed one night,my workers have stayed at Luis property and liked how comfortable it it to rest after a long day of work
2023-08-01,5.0,Stayed one night,Everything's very clean and tidy!
2023-07-01,5.0,Stayed a few nights,"Great, clean place"
2023-07-01,5.0,Stayed with a pet,Home was very neatly decorated and had all the amenities we needed for our stay.
2023-07-01,5.0,Stayed with kids,"All the little touches were there! He didn’t miss a thing! Even provided a few extras - the coffee I requested was there & it was exceptional. There were little extras even for the dogs (I won’t give details, I loved the surprise). Very clean, great appliances.
Bonus, Creekmore Park is practically across the street and it is a MUST. This park was not well advertised and it’s impressive. Better than the one on the river even.
Thanks to Luis our trip to Ft Smith was perfect."
2023-07-01,5.0,Stayed with kids,"Me and my friend enjoyed the place, was peaceful neighborhood and we felt safe also was exactly the description, absolutely we’ll try to rent it for the next JW convention, very recommended."
2023-07-01,5.0,Stayed with a pet,Great stay! Will stay again!
2023-06-01,5.0,Stayed a few nights,Luis was a great host. Would definitely stay again!
2023-05-01,5.0,Stayed a few nights,About the 4th time staying in Luis’s property and again very clean and comfortable with a host that makes sure everything is top notch.
2023-05-01,5.0,Stayed a few nights,"This place was perfect! Very clean and comfortable, easy to find and very quiet. Easy and uncomplicated check out was a plus! I had a wonderful stay and would positively stay here again when in town for another getaway. Luis was a perfect host and I hope to return for another stay soon."
2023-05-01,5.0,Stayed one night,Great stay
2023-05-01,5.0,Stayed a few nights,Great house very clean I will stay there again
2023-05-01,5.0,Stayed a few nights,Perfect place for the price. Luis was great to work with us when our work schedule was changed at the last minute.
2023-05-01,5.0,Stayed one night,This spot was amazing. Luis was kind and quick to answer any and all questions. The home was very clean and comfortable. Located in the center of fort smith so shopping and eating places all within a few minute drive.
2023-05-01,5.0,Stayed one night,Great places.... wonderful host...
2023-05-01,5.0,Stayed about a week,Nice clean place to stay. Luis was very quick to respond with any issues.
2023-04-01,5.0,Stayed a few nights,All of our needs were comfortably met. Highly recommend.
2023-04-01,5.0,Stayed about a week,"Extremely comfortable place to stay!! Luis is a wonderful host, very accommodating and responsive! Everything was very clean and there were a few snacks set out for us when we got there, which was a super nice touch!"
2023-04-01,5.0,Stayed one night,"Needed a quick place to stay close to a concert, was convenient and clean!"
2023-03-01,5.0,Stayed a few nights,This place was great. Luis is very nice and responds when you message. Most of all everything is nice and clean. There was no noise at all and there were lots of places I can walk to. I had a very lovely stay. thank you
2023-03-01,5.0,Stayed with kids,Very clean place. Host was very responsive. He didn't request any special check out process. Offered to bring anything we needed. Had coffee and snacks available. Thank you for the weekend.
2023-03-01,5.0,Stayed with kids,Loved the place and Luis communicated well throughout the stay.
2023-02-01,5.0,Stayed with kids,"Luis was a great host. We were in town for volleyball tournament. the condo was comfortable, clean, quiet, and fully stocked. Great location to get downtown quick."
2023-01-01,5.0,Stayed over a week,Great place.
2024-06-01,5.0,Stayed a few nights,Great as usual!
2024-05-01,5.0,Stayed about a week,A great place to stay - and the history of Fort Chafee!
2024-04-01,5.0,Stayed with a pet,We loved staying here - very clean and had great amenities. Very roomy for the two of us and our dogs! We enjoyed being near the Chaffee Crossing area for ease of access to great restaurants and public park space.
2024-03-01,5.0,Stayed a few nights,The space was beautiful. Quiet area and very peaceful. There are some very cute shops and breweries within walking distance! We will definitely be back!
2024-03-01,5.0,Stayed one night,Heidi's place is cute and very clean. Just like what you see in pictures. I am a local and needed a place to stay last minute because of my HVAC system being worked on at my place. This whole process was smooth and she was very responsive. I will most definitely book with her again if I am ever in need. Highly recommend.
2024-06-01,5.0,Stayed a few nights,"We loved staying at Laura's place! A great location - central to everything we wanted without having highway noise pollution. a great value, as well. Laura was very responsive and helpful!"
2024-06-01,5.0,Stayed a few nights,The Cottage was a wonderful stay as the photos and description matched the home. Quiet neighborhood and comfortable bed and clean interior of the home. Location was close to the venue where we were staying and close to a lot of places that was within driving distance. Thank you Emily for being a great host and providing the small essentials needed as time we will forget to pack it.
2024-06-01,5.0,Stayed one night,"This place was a great! Me and my friends stayed for just one night, but the house was so cozy and was decorated so cute!"
2024-06-01,5.0,Stayed a few nights,"Great place to stay, exactly what we needed."
2024-05-01,5.0,Stayed a few nights,Comfort beds and very clean beautiful space neighborhood was quite as well
2024-04-01,5.0,Stayed a few nights,"This is a cute cottage in an old peaceful neighborhood. It is beautifully renovated on the inside and squeaky clean. Mattresses were comfortable and the kitchen has everything you need to cook a meal. Water pressure in the shower was amazing and we will definitely be staying here again the next time we need to come to Fort Smith.
Note the neighborhood does look a bit sketch when you roll in but we felt safe overall and the neighborhood was actually pretty quiet. For the price this was a great stay."
2024-04-01,5.0,Stayed with kids,"The place is really cute, very quiet at night, and had lots of character."
2024-04-01,5.0,Stayed a few nights,My grandma and I stayed here for a couple days and it was absolutely perfect! It was close to everything. We especially liked the information packet Emily put together for her guests. We tried several restaurants on her recommendation list and they were great (not a single chain). And we went to a few attractions she listed. It was very thought out and greatly appreciated.
2024-04-01,5.0,Stayed a few nights,Great place to stay for my work trip in the area! Great hosts!
2024-04-01,5.0,Stayed with kids,Traveled from California to visit my family in Arkansas for a few days and rented this cute space to stay with my son. Great house and very well located. Communication was great and any issue we had was resolved really quickly. Lovely fenced in yard that was perfect for my son and nephew to play outside and was able to have a small family BBQ. Would definitely recommend this space to anyone looking for a small cozy home to stay at while on vacation!
2024-04-01,5.0,Stayed one night,"We loved our stay at the Cottage. It was clean, neat, and affordable - just what we wanted!"
2024-04-01,5.0,Stayed one night,"We liked the great selection of kids' toys and books, the thoughtfully produced guides to the house and the local attractions and restaurants. If only all Airbnb's were like this!"
2024-04-01,5.0,Stayed a few nights,.
2024-04-01,5.0,Stayed with kids,"The house is very welcoming and the guide book is so helpful. That is a genius Idea. The dedication to put something so helpful together for the guests is amazing and the complimentary welcome snack very thoughtful. The neighborshood is very quite, Definitely will be coming back..."
2024-04-01,5.0,Stayed one night,Accommodations were just as described. Check in was easy. Would recommend this listing to family and friends!
2024-04-01,5.0,Stayed a few nights,"Great location, very accommodating."
2024-03-01,5.0,Stayed a few nights,My brother and I stayed for 2 nights. He had an eye doctor appointment. Emily's place was very convenient location for us. Emily was very quick to respond. It was perfect for our visit. I cooked dinner both nights in the cute kitchen.
2024-03-01,5.0,Stayed one night,"Comfortable & clean - as advertised. The host was very clear with the instructions. The cottage has everything you need. If we are back in the area, we would stay there again."
2024-03-01,5.0,Stayed a few nights,"Nice little place in Ft. Smith. Close to 540 and downtown so super easy to get around. Can't control the neighbors so don't be put off when you pull in. The house is well decorated and equipped, super clean, safe and truly a little gem."
2024-03-01,5.0,Stayed one night,"Great place to stay, clean, and cozy!"
2024-03-01,5.0,Stayed with kids,"Great place to stop along our route. The toys for the kids was definitely a bonus and kept ours entertained! Beds were comfortable & house was clean. Overall, good experience."
2024-03-01,5.0,Stayed one night,"Although a short stay, we felt safe and had a good nights sleep. Your home was very nice. Thank you so much."
2024-02-01,5.0,Stayed with kids,It was a perfect place for our family of 3 to stay the night. It was near everything in town as well. Very clean and homey.
2024-02-01,5.0,Stayed with kids,"This home is beautiful. The host was very responsive and paid attention to so many details. From the decore, to the items in the kichen everything was wonderful. The beds were so comfortable. The home was so clean and they went above and beyond by providing snacks and items in case we forgot anything. I enjoyed playing the childrens games they provided with my daughter. I would HIGHLY RECOMMEND THIS PLACE."
2024-02-01,5.0,Stayed one night,"Perfectly clean home!
Comfy bed & Quiet stay!
Highly recommend!"
2024-02-01,5.0,Stayed a few nights,"Had a wonderful stay here! The house is absolutely beautiful, it felt comfortable and cozy inside. Great local restaurants and coffee shops nearby!"
2024-02-01,5.0,Stayed a few nights,"Had a great stay at this clean and comfortable two bedroom house. Perfect location for getting to Mercy Hospital, which is what brought us to town. Major road with restaurants and shops is also just around the corner."
2024-02-01,5.0,Stayed one night,Wonderful location! Can’t wait to go back!
2024-02-01,5.0,Stayed over a week,Good
2024-01-01,5.0,Stayed a few nights,"I loved the place, the pictures presented when booking is exactly what you get!!!"
2024-01-01,5.0,Stayed about a week,Super clean house! Looked just like the pictures
2024-01-01,5.0,Stayed with kids,"We had a great time with Emily! She has been one of the most responsive and kind hosts we've interacted with. Very quick to answer questions. Communication was always clear. the space is really nice, comfy beds, even some game options for the kids! We'll definitely come back and stay at Emily's!"
2024-01-01,5.0,Stayed a few nights,Great house to stay at!
2023-12-01,5.0,Stayed with kids,We had an amazing stay! Beautiful home and everything we needed was there. Would love to reserve this home again next year!
2023-12-01,5.0,Stayed a few nights,"The place was great. I’m a Fort Smith, Arkansas native that was home for the Christmas holdiay. Prior to booking, I had asked if I could bring my service animal that would be well monitored, crated, cleaned up after, but most importantly - needed a backyard to accomodate him. Emily responsed yes and I booked immediately. The place was clean, had very nice decor, TVs, & snacks. Emily even followed up to a question while in labor. Great host!
My only note for furture bookers who might be traveling in & arrive early unintentionally - is that the digital pad didn’t recognize my code til after check-in time (post 3p)."
2023-12-01,5.0,Stayed a few nights,"Such a cute little home with great personal touches from the owner. Home was clean and free of clutter, it was very relaxing and a great location central to our needs."
2023-12-01,5.0,Stayed a few nights,"This was the perfect option for our trip to Fort Smith. Lots of great local options nearby, plenty of space, and so much cozier than a hotel. Would love to stay again!"
2023-12-01,5.0,Stayed one night,Felt like home away from home. Very close to tons of restaurants & stores. Emily was very nice & welcoming!
2023-12-01,5.0,Stayed with kids,Great clean place for out quick one night stay as we passed through. The beds were extremely comfortable as well!
2023-12-01,5.0,Stayed one night,Super cozy and warm! Cute interior!
2023-12-01,5.0,Stayed a few nights,Such a cute and cozy home!! Great location and quiet neighborhood!
2023-11-01,5.0,Stayed with kids,"Emily’s place was a dream. It was well stocked and had everything our family needed for a few days. We only had one minor issue, but Emily was quick to respond and resolve it. I would absolutely stay here again and plan to the next time I need a place in fort smith."
2023-11-01,5.0,Stayed with kids,Such a cozy home tucked into the middle of fort smith. The beds were comfy. The bathroom was clean. And the home was beautiful. Thanks for letting us stay!
2023-11-01,5.0,Stayed a few nights,Convenient location to a beautiful part of Ft Smith. The cottage is very quiet and comfortable.
2023-11-01,5.0,Stayed a few nights,"Very cute and cozy place. Lots of helpful amenities, great kitchen, easy check in and check out, and a good host!"
2023-11-01,5.0,Stayed a few nights,"We really enjoyed our stay. The house was clean, and the beds were quite comfortable!"
2023-11-01,5.0,Stayed with kids,Amazing place. Super clean and comfortable. Will definitely stay again!
2023-11-01,5.0,Stayed one night,"We enjoyed our stay, Emily 's place is very clean and cute."
2023-11-01,5.0,Stayed a few nights,This was a nice little house.
2023-11-01,5.0,Stayed one night,Great stay in a clean and comfortable place. Emily added many details that made for an enjoyable stay.
2023-10-01,5.0,Stayed a few nights,Highly recommend I would definitely stay again at your place thanks Emily
2023-10-01,5.0,Stayed a few nights,"Emilys place was super clean and trendy! She had great recommendations for food and things to do. The location is conveniently located to EVERYTHING! Emily was thoughtful for having little extra things for her guests just in case they forgot the essentials. We didn’t use any of it, but thought it was awesome! I would 100% stay here again! You will not be disappointed."
2023-10-01,5.0,Stayed one night,Just what I needed. A quick overnight stay where I could safely store my vehicle (motorcycle). Wish I had a little more time to wander around town and maybe find someplace to go eat.
2023-10-01,5.0,Stayed about a week,Emily's place was great. Beds were very comfortable. Kitchen well stocked with what you need.
2023-10-01,5.0,Stayed a few nights,"Super cute, super clean, felt right at home! loved the chill deck out back, bbq pit came in handy, had everything we needed. Would book with Emily in the future"
2023-10-01,5.0,Stayed a few nights,I really enjoyed my stay here the place really felt like home if you are in Ft Smith I would highly recommend staying here
2023-09-01,4.0,Stayed over a week,This was a welcoming and peaceful 2-week stay.
2023-09-01,5.0,Stayed a few nights,We had a wonderful stay! It’s decorated SO cute and the furniture is extremely comfortable. The host even provided some snacks which is always appreciated. Would definitely stay again!
2023-09-01,5.0,Stayed one night,Great little place to stay
2023-08-01,5.0,Stayed one night,"Great visit, great house!"
2023-08-01,5.0,Stayed with kids,"The place was recently refurbished/renovated, so everything we needed worked great. Washer and dryer a plus for us travelling with baby and fairly reasonable baby proof, and not a lot of clutter. Wifi for remote work and streaming was satisfactory, having coffee and detergents for use was nice, and also some other things if you forget to bring it. Host was responsive and gave clear directions. No issues here. We would stay again. Great little place and great value. Thanks for hosting us"
2023-08-01,5.0,Stayed one night,The place was great! Had everything we could possibly need and was super clean! Emily was a great host!
2023-08-01,5.0,Stayed a few nights,Thanks for a great stay!
